                x           y           z
4131   -19.068647   25.786383  -26.304449
4132   -19.006852   25.841573  -30.616395
4133   -19.248913   25.625355  -30.541579
4134   -19.692348   25.229266  -32.865796
4135   -20.195722   24.779639  -37.164943
4136   -20.422684   24.576911  -39.078566
4137   -20.274934   24.708886  -38.281415
4138   -19.487178   25.412515  -35.718397
4139   -17.947767   26.787524  -32.214975
4140   -17.065010   27.576006  -32.665425
4141   -16.702911   27.899440  -35.650742
4142   -17.232861   27.426094  -37.553662
4143   -17.899233   26.830894  -36.839373
4144   -17.786888   26.931248  -35.426087
4145   -17.129558   27.518386  -32.570209
4146   -17.086401   27.556937  -30.849867
4147   -17.327247   27.341807  -27.104964
4148   -17.239234   27.420413  -26.322523
4149   -17.452109   27.230270  -29.523953
4150   -17.535559   27.155734  -31.093898
4151   -17.541673   27.150267  -33.837235
4152   -17.382140   27.292756  -34.676919
4153   -17.286592   27.378097  -38.376639
4154   -17.390583   27.285219  -39.092214
4155   -17.088100   27.555399  -35.194211
4156   -16.981587   27.650537  -30.140994
4157   -17.449977   27.232164  -23.166703
4158   -17.784496   26.933367  -19.937529
4159   -18.000301   26.740615  -18.776888
4160   -18.487615   26.305350  -19.059299
4161   -18.419925   26.365814  -21.223294
4162   -18.442164   26.345958  -22.038920
4163   -18.001863   26.739236  -22.556273
4164   -17.895852   26.833932  -26.470069
4165   -18.337545   26.439415  -27.023333
4166   -18.276342   26.494075  -26.943805
4167   -18.576189   26.226240  -25.376527
4168   -18.872178   25.961860  -27.401531
4169   -18.748874   26.071993  -27.539134
4170   -18.215838   26.548103  -23.670161
4171   -18.214421   26.549367  -21.348563
4172   -17.459229   27.223912  -16.788518
4173   -17.025123   27.611658  -14.193802
4174   -17.076088   27.566132  -14.128975
4175   -17.294210   27.371295  -16.917683
4176   -16.837202   27.779495  -19.473310
4177   -16.942691   27.685271  -24.485119
4178   -16.806414   27.806997  -26.144886
4179   -17.146230   27.503481  -26.153697
4180   -17.664390   27.040665  -28.150195
4181   -18.359798   26.419527  -28.066561
4182   -18.825351   26.003686  -27.417776
4183   -18.978485   25.866902  -27.503106
4184   -18.532492   26.265262  -29.247198
4185   -18.228590   26.536703  -31.446604
4186   -17.485322   27.200592  -28.540209
4187   -17.274409   27.388986  -27.117165
4188   -17.648621   27.054742  -27.592197
4189   -17.266182   27.396342  -22.955897
4190   -17.165015   27.486701  -19.635734
4191   -17.755843   26.958968  -19.983463
4192   -18.073635   26.675112  -24.442989
4193   -17.788544   26.929755  -31.211097
4194   -17.757624   26.957366  -33.287462
4195   -17.445958   27.235739  -34.920075
4196   -17.720108   26.990864  -33.869068
4197   -18.228560   26.536710  -29.195955
4198   -18.650936   26.159444  -24.834868
4199   -18.221442   26.543083  -22.654128
4200   -18.047447   26.698506  -20.469886
4201   -17.490083   27.196354  -19.002925
4202   -17.293909   27.371580  -19.908959
4203   -16.868172   27.751849  -24.040562
4204   -17.012179   27.623218  -26.214226
4205   -17.625770   27.075158  -27.738585
4206   -18.555825   26.244428  -28.855638
4207   -18.811537   26.016027  -24.590350
4208   -19.318055   25.563601  -21.605413
4209   -19.416154   25.475973  -19.979906
4210   -18.654718   26.156089  -21.843170
4211   -18.762235   26.060046  -24.361506
4212   -18.571504   26.230395  -23.988627
4213   -18.104639   26.647384  -24.455988
4214   -17.143405   27.505945  -27.617614
4215   -16.635595   27.959500  -33.199558
4216   -16.123958   28.416473  -40.158892
4217   -15.599525   28.884873  -43.552205
4218   -15.620661   28.865966  -43.662236
4219   -15.663317   28.827822  -42.142148
4220   -16.352215   28.212430  -38.286669
4221   -16.658471   27.938780  -31.421395
4222   -16.846726   27.770485  -26.173057
4223   -16.608464   27.983095  -26.609724
4224   -16.877790   27.742239  -25.378099
4225   -17.234421   27.423275  -23.587724
4226   -17.639872   27.060522  -22.582817
4227   -17.448861   27.230280  -22.317313
4228   -17.892282   26.833007  -22.611616
4229   -18.078832   26.664681  -24.390505
4230   -18.247901   26.511264  -28.366501
4231   -18.350860   26.415909  -32.720569
4232   -17.468838   27.198948  -30.873895
4233   -17.100872   27.520853  -29.383923
4234   -17.486398   27.166944  -28.025787
4235   -17.673360   26.986445  -28.240989
4236   -17.384389   27.225471  -26.177052
4237   -17.057670   27.490339  -24.867917
4238   -17.469435   27.084449  -27.910042
4239   -17.368684   27.120611  -25.967791
4240   -17.349672   27.061542  -24.164449
4241   -17.691309   26.648921  -23.946046
4242   -18.619928   25.667604  -26.177176
4243   -19.933832   24.279421  -27.188169
4244   -22.265994   21.893084  -32.231607
4245   -24.764694   19.130488  -33.577356
4246   -26.146288   17.920909  -29.132027
4247   -26.997898   17.070096  -25.980889
4248   -26.993863   17.492223  -24.548146
4249   -26.855992   17.915984  -22.419439
4250   -26.515669   18.636198  -22.536698
4251   -26.435323   18.776400  -23.040010
4252   -26.483059   18.647240  -25.453669
4253   -27.082005   17.382571  -23.603516
4254   -27.794823   15.890816  -22.815077
4255   -28.394167   14.641136  -25.654525
4256   -28.749127   13.902376  -29.882057
4257   -28.823609   13.747444  -30.213430
4258   -28.602363   14.206838  -33.117683
4259   -28.019282   15.417218  -33.266235
4260   -27.668102   16.146282  -29.791083
4261   -27.000745   17.531352  -29.038076
4262   -26.761472   18.027988  -30.165087
4263   -26.898640   17.743370  -34.110149
4264   -27.261044   16.991313  -36.762024
4265   -27.487655   16.521034  -38.414845
4266   -27.780733   15.912822  -41.243166
4267   -27.792078   15.889269  -42.041615
4268   -27.496611   16.502414  -44.601679
4269   -27.202837   17.112049  -43.909275
4270   -26.907402   17.725140  -45.492250
4271   -27.085314   17.355954  -44.128548
4272   -27.228348   17.059150  -41.570646
4273   -27.185888   17.147276  -39.999324
4274   -27.253171   17.007664  -40.252041
4275   -27.229983   17.055781  -37.495787
4276   -26.665439   18.227334  -35.718790
4277   -26.360281   18.860605  -30.667077
4278   -26.608074   18.346380  -27.140176
4279   -27.093976   17.338018  -29.167298
4280   -27.732570   16.012797  -29.080569
4281   -27.988420   15.481842  -30.588918
4282   -27.821956   15.827291  -29.087099
4283   -27.663187   16.156769  -28.356642
4284   -27.422830   16.655557  -26.990324
4285   -27.463384   16.571406  -29.248442
4286   -27.124917   17.273801  -28.905550
4287   -27.158114   17.204905  -26.207117
4288   -27.135886   17.251030  -21.926518
4289   -26.787081   17.974851  -19.536781
4290   -26.426569   18.722974  -20.145066
4291   -26.083371   19.435166  -25.691039
4292   -26.082430   19.437110  -26.689186
4293   -26.589085   18.385694  -26.371535
4294   -26.682057   18.192758  -26.627427
4295   -26.683118   18.190564  -26.799972
4296   -27.044622   17.440391  -27.697202
4297   -27.539812   16.412781  -27.427977
4298   -27.983774   15.491491  -27.772741
4299   -28.309409   14.815760  -27.244576
4300   -28.365076   14.700264  -28.971779
4301   -28.437953   14.549041  -25.856125
4302   -28.235827   14.968487  -23.176876
4303   -27.920246   15.623371  -21.461418
4304   -27.696390   16.087901  -23.855227
4305   -27.712541   16.054366  -22.512004
4306   -27.835904   15.798354  -23.601713
4307   -28.199891   15.043004  -21.168801
4308   -28.384823   14.659236  -18.978886
4309   -28.508798   14.401959  -19.125204
4310   -28.377677   14.674068  -22.858183
4311   -28.321127   14.791420  -26.978847
4312   -28.340317   14.751588  -31.140500
4313   -28.417351   14.591731  -35.935177
4314   -28.218109   15.005198  -38.717726
4315   -27.951076   15.559348  -38.252888
4316   -28.148773   15.149092  -34.942870
4317   -28.152349   15.141660  -33.875430
4318   -28.408358   14.610378  -33.307114
4319   -28.501328   14.417448  -35.118397
4320   -28.163538   15.118431  -34.609083
4321   -28.155720   15.134660  -36.516815
4322   -27.934740   15.593230  -37.672144
4323   -27.697628   16.085283  -35.566771
4324   -27.305743   16.898527  -37.063311
4325   -27.369580   16.766054  -37.635547
4326   -27.561727   16.367305  -36.200715
4327   -27.465740   16.566502  -34.122836
4328   -27.014145   17.503653  -36.734832
4329   -26.738242   18.076217  -40.875061
4330   -27.050201   17.428849  -39.909753
4331   -27.107603   17.309722  -42.606488
4332   -27.215010   17.086815  -46.298379
4333   -27.769497   15.936144  -47.256168
4334   -28.384678   14.659523  -44.762106
4335   -28.728683   13.945650  -38.393442
4336   -28.694160   14.017303  -34.317588
4337   -28.488201   14.444717  -28.075415
4338   -28.141174   15.164871  -24.410711
4339   -27.697610   16.085350  -22.321213
4340   -27.566542   16.357325  -23.613019
4341   -27.743480   15.990136  -24.651700
4342   -27.926740   15.609828  -25.832112
4343   -27.738362   16.000747  -30.808574
4344   -27.457879   16.582805  -34.499818
4345   -27.231043   17.053542  -33.807293
4346   -26.680669   18.195689  -27.653759
4347   -26.314913   18.954717  -23.687155
4348   -26.115274   19.369012  -23.211846
4349   -26.389256   18.800436  -26.074397
4350   -26.449938   18.674507  -23.327802
4351   -26.271794   19.044181  -21.502874
4352   -26.317245   18.949846  -21.016579
4353   -26.496853   18.577127  -20.968171
4354   -26.323973   18.935889  -22.025906
4355   -26.259599   19.069472  -19.772975
4356   -26.238349   19.113559  -18.180769
4357   -26.410720   18.755819  -20.122776
4358   -26.392170   18.794282  -19.266596
4359   -26.493762   18.583419  -19.126523
4360   -26.843682   17.857201  -20.212579
4361   -27.229957   17.055515  -21.208517
4362   -27.079172   17.368293  -22.756755
4363   -26.854454   17.834457  -27.713484
4364   -26.853609   17.835961  -30.448181
4365   -26.785512   17.976940  -28.638531
4366   -27.135168   17.250861  -29.717449
4367   -27.506910   16.478759  -26.516711
4368   -27.485429   16.522396  -25.401054
4369   -27.049057   17.426621  -29.355362
4370   -26.964008   17.601212  -34.331328
4371   -27.126116   17.262106  -34.147287
4372   -27.021855   17.474670  -30.701920
4373   -26.912047   17.697191  -30.782090
4374   -26.692443   18.145359  -30.233344
4375   -26.992723   17.511532  -31.410240
4376   -27.235656   16.992305  -30.012690
4377   -27.664842   16.080315  -27.554148
4378   -28.240551   14.855449  -27.348922
4379   -29.438465   12.329148  -25.977751
4380   -30.451062   10.091656  -22.542928
4381   -31.064369    9.151789  -17.774585
4382   -31.387119    8.572676  -15.182660
4383   -31.535148    8.085595  -15.067102
4384   -31.610918    7.333843  -16.374641
4385   -31.632825    6.900464  -17.582490
4386   -31.617359    6.957654  -18.214541
4387   -31.580340    7.414330  -18.992663
4388   -31.560839    7.627773  -18.393451
4389   -31.570777    7.380268  -16.914279
4390   -31.627270    6.347620  -17.006768
4391   -31.632166    6.251186  -18.616679
4392   -31.611098    6.624309  -22.995407
4393   -31.575690    7.254500  -27.563476
4394   -31.550779    7.698693  -33.176499
4395   -31.584025    7.111050  -35.627837
4396   -31.566322    7.425750  -31.620074
4397   -31.589326    7.018279  -27.528375
4398   -31.559634    7.544706  -26.066347
4399   -31.530319    8.064258  -24.467157
4400   -31.504272    8.525849  -22.651795
4401   -31.506511    8.486073  -20.560716
4402   -31.517628    8.288976  -21.625176
4403   -31.553219    7.658064  -23.964483
4404   -31.539235    7.906039  -28.086201
4405   -31.476198    9.023670  -33.825891
4406   -31.418752   10.042226  -35.524089
4407   -31.386313   10.617415  -35.108260
4408   -31.397747   10.414712  -38.050049
4409   -31.423554    9.957175  -38.249974
4410   -31.439036    9.682696  -32.605355
4411   -31.435175    9.751101  -30.525484
4412   -31.432936    9.790829  -26.178563
4413   -31.445644    9.565476  -20.849393
4414   -31.461411    9.285951  -16.585381
4415   -31.488226    8.810580  -15.065782
4416   -31.546254    7.782000  -15.642724
4417   -31.625465    6.377888  -16.198675
4418   -31.659543    5.773866  -18.059020
4419   -31.652614    5.896669  -21.619018
4420   -31.653714    5.877156  -27.911695
4421   -31.640008    6.120121  -28.260000
4422   -31.615356    6.557018  -30.140504
4423   -31.617910    6.511724  -34.909138
4424   -31.603357    6.769719  -38.726165
4425   -31.586875    7.061875  -40.812340
4426   -31.586854    7.062273  -42.142451
4427   -31.624688    6.391501  -39.805042
4428   -31.687349    5.280557  -40.885699
4429   -31.741089    4.327836  -42.774334
4430   -31.762600    3.946496  -40.749116
4431   -31.739797    4.350768  -37.138851
4432   -31.676682    5.469760  -31.908130
4433   -31.658112    5.799027  -27.920318
4434   -31.637508    6.164267  -26.794495
4435   -31.619119    6.490295  -30.802221
4436   -31.645130    6.029176  -33.613797
4437   -31.642683    6.072571  -35.740358
4438   -31.642108    6.082764  -32.524577
4439   -31.679428    5.421182  -29.414828
4440   -31.708854    4.899642  -29.475872
4441   -31.689193    5.248190  -28.492541
4442   -31.646457    6.005864  -27.291748
4443   -31.638110    6.153803  -26.908363
4444   -31.643608    6.056250  -27.599852
4445   -31.613464    6.590535  -33.278694
4446   -31.621871    6.441516  -37.640840
4447   -31.635187    6.205435  -35.830552
4448   -31.683124    5.355627  -37.232449
4449   -31.688470    5.260986  -35.736834
4450   -31.681877    5.377940  -37.686930
4451   -31.614076    6.579880  -36.139943
4452   -31.563772    7.471673  -36.725148
4453   -31.552817    7.665855  -35.333788
4454   -31.583090    7.129101  -33.862720
4455   -31.613727    6.586025  -34.074173
4456   -31.654446    5.864137  -30.034302
4457   -31.654308    5.866503  -26.986601
4458   -31.668503    5.614897  -28.229936
4459   -31.646619    6.002886  -29.712313
4460   -31.673169    5.532263  -35.720769
4461   -31.666201    5.655746  -39.751283
4462   -31.647164    5.993070  -40.043805
4463   -31.628204    6.329139  -37.364445
4464   -31.589304    7.018803  -33.134465
4465   -31.542510    7.848489  -32.350014
4466   -31.523120    8.192226  -30.080912
4467   -31.542220    7.853734  -29.740718
4468   -31.577680    7.225158  -29.038203
4469   -31.608764    6.674159  -29.215762
4470   -31.613406    6.591868  -27.834029
4471   -31.611442    6.626624  -28.263132
4472   -31.531269    8.047813  -27.023867
4473   -31.478393    8.985166  -28.928201
4474   -31.465923    9.206247  -26.514765
4475   -31.485830    8.853287  -24.522363
4476   -31.525459    8.150717  -22.397584
4477   -31.535033    7.980953  -21.306630
4478   -31.550793    7.701487  -20.724913
4479   -31.628371    6.326132  -18.758760
4480   -31.702246    5.016457  -19.100061
4481   -31.736461    4.409911  -22.472947
4482   -31.753950    4.099895  -21.992061
4483   -31.797916    3.320486  -20.947195
4484   -31.812842    3.056018  -21.900600
4485   -31.781385    3.613755  -24.409906
4486   -31.717124    4.752956  -28.052200
4487   -31.641066    6.101307  -28.478491
4488   -31.553347    7.656269  -26.927204
4489   -31.504084    8.529450  -26.106563
4490   -31.474233    9.058538  -22.526363
4491   -31.477873    8.993870  -21.433374
4492   -31.515244    8.331260  -23.208592
4493   -31.560895    7.521740  -23.991756
4494   -31.563538    7.474434  -25.244530
4495   -31.566000    7.430096  -26.547584
4496   -31.587181    7.053682  -32.029185
4497   -31.559606    7.541382  -33.429297
4498   -31.512419    8.376360  -32.927525
4499   -31.507249    8.465703  -27.980744
4500   -31.506134    8.482299  -23.538072
4501   -31.532756    8.005802  -22.760668
4502   -31.570057    7.337994  -22.151617
4503   -31.578563    7.177961  -22.859612
4504   -31.614203    6.533189  -26.710229
4505   -31.668431    5.553693  -33.913462
4506   -31.708678    4.814599  -41.189695
4507   -31.715768    4.652711  -47.276548
4508   -31.670552    5.403095  -49.764404
4509   -31.683442    5.102228  -52.047828
4510   -31.653033    5.538994  -52.567291
4511   -31.682427    4.873352  -51.863183
4512   -31.680596    4.701415  -49.314092
4513   -31.604840    5.755544  -44.271242
4514   -31.573206    5.908216  -38.206547
4515   -31.542191    5.881407  -29.701349
4516   -31.568459    4.601050  -21.212473
4517   -31.583891    3.176341  -15.470594
4518   -31.595743    1.339662   -9.148086
4519   -31.542738   -0.019206   -0.961381
4520   -31.497768   -2.068606    8.836730
4521   -31.192863   -4.470442   14.388689
4522   -30.939486   -6.133083   19.908244
4523   -30.895268   -6.731729   22.055203
4524   -30.633238   -7.669803   24.738068
4525   -30.586348   -7.850781   27.500777
4526   -30.967937   -6.750178   34.401510
4527   -31.172636   -6.142003   40.175571
4528   -31.188966   -6.075720   40.575784
4529   -30.970916   -6.686833   35.019981
4530   -30.861801   -6.992371   31.955683
4531   -30.942361   -6.759197   32.835448
4532   -31.453539   -5.296375   34.531854
4533   -31.787480   -4.341286   33.276612
4534   -31.715040   -4.548729   34.656481
4535   -31.763787   -4.409531   32.278960
4536   -31.802066   -4.300211   31.433143
4537   -31.692055   -4.614948   32.872996
4538   -31.307411   -5.715122   36.201115
4539   -30.943469   -6.756063   40.609743
4540   -30.914088   -6.840091   43.663209
4541   -30.956337   -6.719237   41.974214
4542   -31.307538   -5.714757   39.516516
4543   -31.635285   -4.777362   36.947174
4544   -31.587297   -4.914600   36.409951
4545   -31.385058   -5.493020   33.955922
4546   -31.220835   -5.962722   34.588551
4547   -31.038685   -6.483684   34.334356
4548   -30.911759   -6.846710   38.374070
4549   -30.860273   -6.993964   40.061769
4550   -31.074930   -6.380014   43.529610
4551   -31.099229   -6.310522   44.976385
4552   -31.285980   -5.776395   43.358581
4553   -31.454757   -5.293681   37.656557
4554   -31.346134   -5.604346   34.158426
4555   -31.200553   -6.020729   31.091375
4556   -31.250414   -5.878108   27.345968
4557   -31.378933   -5.510526   28.040239
4558   -31.338183   -5.627082   28.554840
4559   -31.266859   -5.831083   31.769028
4560   -30.834336   -7.068166   33.202551
4561   -30.530292   -7.937765   34.734975
4562   -30.583929   -7.784352   31.418890
4563   -30.481800   -8.076457   29.238374
4564   -30.440617   -8.194266   28.285645
4565   -30.240801   -8.765780   29.361674
4566   -30.182941   -8.931259   32.827054
4567   -29.996410   -9.464766   32.909599
4568   -29.904523   -9.727576   30.508759
4569   -29.925259   -9.668256   30.070573
4570   -29.991890   -9.477661   30.719175
4571   -30.265794   -8.694248   27.487501
4572   -30.500771   -8.022175   24.465697
4573   -30.964983   -6.694472   22.635647
4574   -31.036588   -6.489682   24.797779
4575   -31.027888   -6.514569   25.454275
4576   -30.814340   -7.125338   21.474973
4577   -30.579218   -7.797817   19.116908
4578   -30.562473   -7.845693   19.884985
4579   -30.644970   -7.609738   20.828140
4580   -30.566099   -7.835327   23.928505
4581   -30.693718   -7.470343   24.421106
4582   -30.882489   -6.930441   27.294598
4583   -31.269041   -5.824876   29.540280
4584   -31.438043   -5.341514   31.449522
4585   -31.209951   -5.993895   26.654180
4586   -30.826077   -7.091825   22.934227
4587   -30.580364   -7.794587   19.843020
4588   -30.216525   -8.835211   18.194719
4589   -30.102924   -9.160131   18.101581
4590   -30.070821   -9.251946   21.025368
4591   -29.953337   -9.587961   25.586109
4592   -30.017600   -9.404163   23.663021
4593   -30.064790   -9.269180   21.696530
4594   -30.184793   -8.925943   19.109215
4595   -30.446614   -8.177106   19.070623
4596   -30.780960   -7.220859   21.858364
4597   -30.928543   -6.798771   27.456713
4598   -30.958957   -6.711786   36.368620
4599   -30.899306   -6.882378   41.166807
4600   -30.747212   -7.317386   39.877968
4601   -30.837163   -7.060107   39.288731
4602   -31.009639   -6.566789   37.193808
4603   -31.022600   -6.529709   34.963993
4604   -31.080840   -6.363122   34.846575
4605   -31.269476   -5.823596   31.964473
4606   -31.332645   -5.642921   24.905147
4607   -31.602050   -4.872385   19.693066
4608   -31.697888   -4.598274   18.040446
4609   -31.569835   -4.964541   20.277278
4610   -31.216575   -5.974910   23.958999
4611   -30.927193   -6.802586   27.129342
4612   -30.910566   -6.850146   29.445723
4613   -30.982478   -6.644453   29.867343
4614   -30.925209   -6.808235   30.442409
4615   -30.868913   -6.969239   34.084542
4616   -30.633061   -7.643811   36.855220
4617   -30.649677   -7.596303   37.280970
4618   -30.711141   -7.420513   31.937177
4619   -30.587912   -7.772964   26.421572
4620   -30.488108   -8.058405   25.371156
4621   -30.351248   -8.449837   25.711473
4622   -30.289061   -8.627718   25.490493
4623   -30.475314   -8.095010   23.329589
4624   -30.651877   -7.590026   23.375272
4625   -30.554970   -7.867186   24.426464
4626   -30.066137   -9.265309   24.833769
4627   -29.598455  -10.602946   21.829605
4628   -29.279369  -11.515593   19.029552
4629   -29.187278  -11.779000   19.254854
4630   -29.193884  -11.760106   19.166815
4631   -29.333449  -11.360907   20.491103
4632   -29.586693  -10.636566   24.764423
4633   -29.859257   -9.856988   26.738920
4634   -30.064880   -9.268883   27.988771
4635   -30.266827   -8.691288   31.316859
4636   -30.670183   -7.537632   29.918375
4637   -30.956766   -6.717973   25.678810
4638   -30.742991   -7.329416   20.194940
4639   -30.688483   -7.485341   16.968275
4640   -30.466739   -8.119564   15.819623
4641   -30.527348   -7.946214   17.471996
4642   -30.518021   -7.972887   21.864394
4643   -30.422097   -8.247238   22.184227
4644   -30.609389   -7.711555   21.165511
4645   -30.660572   -7.565167   22.798226
4646   -30.769785   -7.252827   25.142219
4647   -31.101294   -6.304707   26.542710
4648   -31.352430   -5.586462   22.404297
4649   -31.151842   -6.160220   19.491572
4650   -31.239566   -5.909379   18.072491
4651   -31.107227   -6.287954   19.125712
4652   -30.802680   -7.159080   22.651212
4653   -30.802526   -7.159659   25.876904
4654   -30.481964   -8.076690   32.462963
4655   -30.327182   -8.519663   34.908483
4656   -30.250239   -8.740129   32.507122
4657   -30.068451   -9.260622   32.128072
4658   -30.071056   -9.253952   33.219743
4659   -30.366170   -8.410973   29.970271
4660   -30.465883   -8.127312   29.908860
4661   -30.178757   -8.950683   30.167081
4662   -29.958527   -9.583634   29.627080
4663   -29.967189   -9.563209   26.591916
4664   -30.200479   -8.902111   24.714568
4665   -30.325590   -8.552956   25.368876
4666   -30.399129   -8.354891   28.417768
4667   -30.762413   -7.333177   31.755361
4668   -30.888138   -6.998087   33.026207
4669   -30.590736   -7.883333   33.713828
4670   -29.592505  -10.742844   36.952993
4671   -28.944597  -13.014151   36.072710
4672   -28.431209  -14.595004   39.608880
4673   -27.672255  -15.978943   40.060422
4674   -27.426337  -16.483816   38.760824
4675   -27.481331  -16.491068   34.814853
4676   -27.257821  -16.741661   26.879956
4677   -27.080053  -16.920919   22.027304
4678   -26.784407  -17.232435   22.668681
4679   -26.476901  -17.563397   23.262639
4680   -25.841899  -18.266965   25.050914
4681   -25.598690  -18.535938   26.475838
4682   -25.604678  -18.528128   30.945399
4683   -26.279209  -17.772828   33.023855
4684   -26.461626  -17.568811   34.625644
4685   -26.162490  -17.903962   33.590865
4686   -26.338451  -17.707133   30.731470
4687   -27.336608  -16.589731   27.792038
4688   -28.365959  -15.437362   24.450153
4689   -28.932817  -14.802754   21.580772
4690   -29.174860  -14.531780   20.462007
4691   -28.814367  -14.935380   22.900752
4692   -28.392588  -15.407588   23.797884
4693   -27.479034  -16.430367   26.133309
4694   -27.110088  -16.843427   32.550502
4695   -26.516743  -17.507719   35.760506
4696   -26.328563  -17.718405   36.228365
4697   -26.600761  -17.413665   40.938612
4698   -27.180296  -16.764842   45.265750
4699   -27.431831  -16.483238   45.553791
4700   -26.966891  -17.003767   42.243057
4701   -26.325541  -17.721804   40.827991
4702   -26.489287  -17.538480   36.337425
4703   -26.501557  -17.524741   34.313182
4704   -26.980411  -16.988629   33.245779
4705   -27.277467  -16.656046   31.048585
4706   -28.106053  -15.728387   31.477343
4707   -28.537337  -15.245535   35.747847
4708   -28.436024  -15.358959   35.912867
4709   -27.916842  -15.940223   37.922245
4710   -27.774694  -16.099371   38.431390
4711   -27.773660  -16.100537   35.608492
4712   -28.221107  -15.599593   29.071354
4713   -28.748768  -15.008840   26.094461
4714   -29.129131  -14.582987   24.020319
4715   -29.182007  -14.523776   21.830774
4716   -29.273315  -14.421547   22.592643
4717   -29.002387  -14.724873   22.016713
4718   -28.415472  -15.381969   21.182192
4719   -28.639203  -15.131499   20.069985
4720   -28.720230  -15.040791   21.093570
4721   -28.403009  -15.395938   24.380270
4722   -27.562876  -16.336522   25.352292
4723   -27.643625  -16.246114   24.578380
4724   -27.844700  -16.020989   24.571830
4725   -27.651927  -16.236797   21.884519
4726   -27.764451  -16.110820   21.816179
4727   -27.308758  -16.620996   22.242147
4728   -27.156956  -16.790952   24.104891
4729   -27.417624  -16.499121   25.061171
4730   -27.798028  -16.073235   25.751233
4731   -27.819838  -16.048811   25.076326
4732   -28.390320  -15.410120   23.774881
4733   -28.604666  -15.170146   20.772660
4734   -28.391784  -15.408483   19.764673
4735   -28.621018  -15.151844   19.067125
4736   -28.615372  -15.158162   20.945875
4737   -28.339848  -15.466621   26.403516
4738   -28.385430  -15.415587   32.923755
4739   -28.321882  -15.486739   33.743870
4740   -28.273415  -15.541016   29.672423
4741   -28.442846  -15.351345   26.740032
4742   -28.389002  -15.411632   25.881074
4743   -27.805382  -16.065027   26.555550
4744   -27.468517  -16.442161   27.000651
4745   -26.659243  -17.348193   24.398725
4746   -26.386748  -17.653263   20.247186
4747   -26.498722  -17.527907   17.968156
4748   -26.810158  -17.179237   18.543373
4749   -26.629622  -17.381355   21.969465
4750   -26.410519  -17.626646   27.100287
4751   -26.471443  -17.558429   31.148231
4752   -26.205946  -17.855662   33.057280
4753   -26.664391  -17.342409   34.073910
4754   -26.779517  -17.213520   34.326094
4755   -26.461374  -17.569698   37.193705
4756   -26.068605  -18.009418   39.731097
4757   -25.734270  -18.383723   37.110249
4758   -26.028063  -18.054802   32.213063
4759   -26.225575  -17.833671   28.859377
4760   -26.284652  -17.767533   23.719366
4761   -26.147904  -17.920633   22.215571
4762   -26.686746  -17.317366   20.286433
4763   -26.610669  -17.402546   19.104837
4764   -26.793418  -17.197946   20.678230
4765   -27.143276  -16.806263   25.915723
4766   -26.690937  -17.312692   28.222868
4767   -26.729566  -17.269450   33.056185
4768   -27.042613  -16.918979   35.226179
4769   -27.358751  -16.565047   33.188443
4770   -27.050133  -16.910563   29.592373
4771   -26.771435  -17.222583   29.070156
4772   -26.878864  -17.102308   24.279086
4773   -27.433804  -16.481019   20.045098
4774   -28.040295  -15.802012   19.209666
4775   -28.095540  -15.740162   16.774482
4776   -28.086388  -15.750402   16.335409
4777   -27.947482  -15.905908   16.530104
4778   -27.950468  -15.902569   17.727476
4779   -27.826170  -16.041737   21.811946
4780   -27.306178  -16.623900   23.947996
4781   -26.798293  -17.192506   23.962230
4782   -27.128787  -16.822486   27.036264
4783   -27.331156  -16.595899   27.288705
4784   -26.812110  -17.176986   26.577563
4785   -26.052413  -18.027498   23.461313
4786   -26.058073  -18.021145   23.564963
4787   -25.583257  -18.552706   22.746558
4788   -25.536678  -18.604827   20.481559
4789   -25.524662  -18.618234   19.432163
4790   -25.581332  -18.554710   19.539365
4791   -25.588091  -18.547029   18.721359
4792   -26.160567  -17.905940   15.618987
4793   -26.794882  -17.195563   12.437987
4794   -27.025687  -16.936844   10.168539
4795   -27.379418  -16.540365    9.924111
4796   -27.917657  -15.937131   11.549928
4797   -28.377187  -15.421742   15.165052
4798   -28.651350  -15.113506   20.620767
4799   -28.856307  -14.882224   29.183000
4800   -28.570723  -15.199401   32.551086
4801   -27.884371  -15.964199   31.521764
4802   -27.319001  -16.592063   27.522316
4803   -26.773835  -17.195193   27.728721
4804   -26.239364  -17.783373   23.823520
4805   -25.482495  -18.616339   19.915955
4806   -25.047961  -19.082492   17.973926
4807   -24.899201  -19.220303   18.888295
4808   -24.990681  -19.077274   24.006621
4809   -25.329613  -18.640429   27.668795
4810   -24.943360  -18.991764   32.965882
4811   -24.314759  -19.580911   35.954088
4812   -23.074922  -20.807036   33.368112
4813   -21.001421  -22.917933   33.101597
4814   -18.930685  -24.821682   35.321489
4815   -16.700604  -26.459275   34.810440
4816   -15.686024  -27.235174   32.209927
4817   -15.182933  -27.594350   27.943221
4818   -15.375353  -27.532163   24.309125
4819   -15.427808  -27.502698   24.557447
4820   -15.363231  -27.520783   30.089880
4821   -15.334488  -27.523091   34.322603
4822   -16.078303  -27.157153   36.414008
4823   -16.232983  -27.078625   31.734692
4824   -16.222886  -27.081783   28.935753
4825   -16.602431  -26.898373   31.058782
4826   -16.038593  -27.170081   35.432343
4827   -15.950145  -27.212858   35.168358
4828   -15.961814  -27.207383   33.258098
4829   -16.290152  -27.049259   31.675620
