                x           y           z
166     28.961579   13.769993 -311.749114
167     28.687409   14.490883 -307.487789
168     28.323951   15.433448 -303.913514
169     28.114609   16.071657 -302.040416
170     27.465285   17.037600 -303.547371
171     26.929049   17.753778 -302.643855
172     26.067126   18.761897 -300.357598
173     25.179813   19.762971 -299.045011
174     24.626165   20.376666 -299.155964
175     24.056792   21.004345 -301.117134
176     23.814548   21.265654 -303.119050
177     23.772514   21.302873 -305.221525
178     24.092801   20.933303 -307.105340
179     24.670228   20.272955 -310.926602
180     25.703473   19.097324 -311.994493
181     26.196148   18.519384 -308.975778
182     26.709866   17.907041 -308.446421
183     26.211523   18.412352 -306.037361
184     26.207865   18.342042 -306.591294
185     25.700607   18.804774 -303.849722
186     24.396198   20.116504 -301.761243
187     21.824613   22.671597 -299.223807
188     20.760297   24.274508 -299.724453
189     20.585970   25.042210 -301.166500
190     20.201122   25.579066 -303.194771
191     19.381286   26.118576 -307.124340
192     18.262005   26.696602 -304.599655
193     18.113101   26.763744 -301.830986
194     17.901151   26.849658 -301.949627
195     18.306087   26.639414 -303.366662
196     18.530157   26.520567 -301.706561
197     18.937716   26.316799 -299.911310
198     19.098342   26.233759 -301.991025
199     18.244602   26.639545 -298.358491
200     18.218370   26.645148 -295.547372
201     17.952244   26.763638 -293.397825
202     17.844164   26.801866 -291.423842
203     17.688695   26.857090 -291.442348
204     17.621748   26.861428 -292.077146
205     17.504676   26.878322 -292.096624
206     17.610812   26.771292 -292.956201
207     17.160854   26.909143 -295.486988
208     16.718062   27.010917 -295.698477
209     15.547143   27.417472 -296.545270
210     12.775627   28.530181 -297.022601
211      9.326979   29.844981 -299.126500
212      6.665302   30.808309 -302.774850
213      5.630944   31.328765 -304.033917
214      6.249339   31.498544 -302.552085
215      7.118314   31.500101 -301.950752
216      7.403241   31.452649 -303.309648
217      6.593343   31.422955 -305.120315
218      5.121082   31.399119 -305.768551
219      2.757250   31.390136 -308.475348
220     -0.232939   31.366347 -309.597637
221     -3.572225   31.230479 -310.957997
222     -5.381088   31.306196 -312.472438
223     -6.242514   31.391359 -316.823773
224     -6.679889   31.401356 -318.165357
225     -7.353672   31.200157 -317.063816
226     -8.016907   30.936846 -313.237636
227     -8.765018   30.609718 -310.584063
228    -10.280415   29.989875 -308.510420
229    -11.899936   29.305229 -304.429667
230    -12.852508   28.812699 -302.640340
231    -14.552634   27.998033 -303.920509
232    -16.676968   26.871632 -305.918907
233    -17.716936   26.491326 -305.758648
234    -17.724574   26.794826 -303.425128
235    -17.634814   27.015961 -300.077017
236    -17.377827   27.288948 -295.823025
237    -17.160337   27.478928 -293.632305
238    -17.339880   27.293666 -292.115657
239    -17.482380   27.131934 -292.047715
240    -18.225426   26.425779 -292.411543
241    -19.213969   25.488688 -294.739040
242    -20.143639   24.585779 -296.925174
243    -21.741342   23.058372 -298.727816
244    -23.728890   21.119136 -303.816131
245    -25.132934   19.816872 -302.815000
246    -26.015053   18.915832 -301.631735
247    -26.700685   17.917371 -300.756468
248    -27.210271   16.981921 -301.257079
249    -27.543364   16.254915 -299.247833
250    -27.666192   15.884989 -298.044779
251    -27.253083   16.577382 -297.204247
252    -26.945091   17.000085 -297.204198
253    -27.267016   16.043083 -299.571298
254    -27.855732   14.424831 -300.615790
255    -29.229410   10.954141 -302.527136
256    -30.401104    8.053608 -302.545472
257    -31.132437    6.475182 -302.916048
258    -31.465056    6.478353 -303.051804
259    -31.586135    6.733951 -301.944332
260    -31.619038    6.706797 -300.848669
261    -31.624316    6.351878 -299.503893
262    -31.563173    6.869621 -297.075748
263    -31.528231    6.802299 -296.735392
264    -31.543816    5.724073 -296.444466
265    -31.515066    5.232692 -288.859484
266    -31.519746    3.815279 -277.801607
267    -31.596207    0.830405 -266.302440
268    -31.541424   -2.048059 -256.430398
269    -31.318026   -4.418353 -249.969867
270    -31.047898   -6.092341 -247.506491
271    -30.946192   -6.760648 -245.317863
272    -31.038086   -6.604254 -242.307951
273    -30.802487   -7.272073 -242.945267
274    -30.495655   -8.112617 -247.884628
275    -30.316298   -8.591043 -251.399020
276    -30.426319   -8.253284 -252.447402
277    -30.433704   -8.219595 -250.336408
278    -30.680332   -7.508570 -243.025144
279    -30.915573   -6.833816 -239.852706
280    -30.980867   -6.646705 -235.413377
281    -31.077000   -6.371798 -233.761966
282    -31.051156   -6.445635 -235.856693
283    -31.100582   -6.303845 -235.308317
284    -31.183540   -6.065717 -236.672724
285    -31.305488   -5.715561 -239.368521
286    -31.010799   -6.556374 -241.660234
287    -30.872579   -6.948792 -242.005074
288    -30.418218   -8.244202 -241.645360
289    -30.224563   -8.792233 -245.149395
290    -29.985784   -9.466911 -247.191912
291    -29.781475  -10.039570 -249.612309
292    -29.809282   -9.943526 -251.991865
293    -29.798139   -9.952063 -249.693046
294    -29.673709  -10.274998 -248.734630
295    -29.737505  -10.046000 -251.092342
296    -29.656418  -10.212153 -252.760892
297    -29.711738   -9.960978 -251.708552
298    -29.804049   -9.565598 -245.738608
299    -29.941153   -8.987870 -239.832646
300    -29.907615   -8.821530 -237.045329
301    -29.512281   -9.581662 -240.273697
302    -28.658556  -11.499793 -243.285457
303    -27.305936  -14.422275 -239.733908
304    -26.828017  -16.056241 -237.593524
305    -26.453710  -17.140788 -236.552222
306    -25.930626  -18.057471 -234.160316
307    -25.854238  -18.272926 -234.976670
308    -25.459540  -18.745381 -238.566359
309    -25.012554  -19.237761 -245.571983
310    -24.896212  -19.351143 -248.942903
311    -25.471302  -18.693043 -251.468427
312    -25.584116  -18.557616 -248.592451
313    -26.287812  -17.764880 -248.270495
314    -26.291774  -17.758127 -245.806498
315    -26.386085  -17.651449 -244.025255
316    -27.118840  -16.830340 -244.964079
317    -27.794809  -16.072641 -243.750885
318    -28.213796  -15.602173 -244.404682
319    -28.151542  -15.669772 -240.275099
320    -27.299814  -16.620274 -237.521381
321    -27.065046  -16.878723 -237.533539
322    -27.249079  -16.666454 -235.747322
323    -27.380764  -16.510189 -233.901872
324    -26.906573  -17.028591 -234.180838
325    -26.339321  -17.646019 -235.502586
326    -26.121293  -17.865186 -238.146925
327    -26.244117  -17.692457 -240.177051
328    -26.099095  -17.805050 -241.741505
329    -26.295157  -17.515224 -243.983181
330    -25.919789  -17.836112 -244.464487
331    -25.483318  -18.184371 -247.655447
332    -24.150581  -19.478067 -250.907042
333    -22.535779  -21.005619 -248.828937
334    -21.193112  -22.112707 -248.956415
335    -18.694067  -24.254902 -247.893554
336    -17.026475  -25.843339 -247.389279
337    -16.405376  -26.637749 -245.008454
338    -16.716407  -26.743745 -239.657824
339    -17.789364  -26.332783 -234.568697
340    -18.248748  -26.140603 -232.878457
341    -17.579320  -26.460801 -233.835733
342    -17.747710  -26.368798 -237.601357
343    -17.449947  -26.502352 -241.646480
344    -17.245262  -26.594457 -247.519900
345    -17.773670  -26.336365 -250.610950
346    -17.410961  -26.509720 -250.977506
347    -16.877539  -26.766460 -254.753262
348    -16.757042  -26.824757 -257.052133
349    -17.272841  -26.576675 -255.500373
350    -17.759432  -26.342816 -251.476020
351    -17.523778  -26.457160 -249.872601
352    -17.446254  -26.495552 -253.282293
353    -16.929497  -26.745979 -255.184168
354    -16.824591  -26.798511 -256.140444
355    -18.031466  -26.219719 -252.798283
356    -18.808418  -25.849248 -249.195350
357    -18.658239  -25.927163 -244.465096
358    -18.310121  -26.102754 -241.467714
359    -17.829721  -26.345322 -240.982739
360    -16.532236  -26.986199 -242.899441
361    -14.383619  -28.043687 -241.628155
362    -11.922647  -29.278448 -237.014514
363     -9.818983  -30.197615 -234.016599
364     -8.999882  -30.708072 -232.930782
365     -8.665630  -30.947954 -232.839510
366     -8.451314  -31.040941 -237.300832
367     -8.603646  -31.046990 -237.436233
368     -8.889314  -31.021510 -234.846138
369     -8.604028  -31.024047 -234.866683
370     -8.126763  -31.040287 -233.929779
371     -7.514534  -31.068130 -235.154438
372     -6.132921  -31.142360 -237.166281
373     -5.870496  -31.155116 -240.399713
374     -5.438293  -31.178039 -241.118399
375     -5.018718  -31.200131 -235.739878
376     -4.426436  -31.231355 -232.479362
377     -4.533323  -31.222149 -229.625501
378     -4.844460  -31.200007 -230.128154
379     -4.593949  -31.207571 -233.073489
380     -4.422682  -31.207912 -235.724675
381     -4.205633  -31.206971 -241.907026
382     -4.490384  -31.172280 -244.251678
383     -4.264519  -31.158689 -243.839842
384     -4.470369  -31.109861 -241.502986
385     -3.540096  -31.109750 -235.933102
386     -3.098122  -31.060370 -233.394528
387     -2.012034  -31.016630 -233.311505
388      0.882953  -31.036711 -233.175795
389      3.836196  -30.917721 -234.822250
390      5.401727  -30.964041 -236.947993
391      6.864250  -30.767534 -241.991921
392      7.981891  -30.511793 -242.722888
393      8.191091  -30.478913 -246.684216
394      8.326258  -30.431584 -249.951164
395      8.836764  -30.241167 -248.536351
396      9.267169  -30.078883 -247.320125
397      9.226771  -30.084737 -247.323385
398      9.154893  -30.104950 -248.513732
